"State","Year.Month","Report.Number"
"CT","2013-03",9
"CT","2013-04",15
"CT","2013-05",16
"CT","2013-06",12
"CT","2013-07",20
"CT","2013-08",17
"CT","2013-09",15
"CT","2013-10",12
"CT","2013-11",13
"CT","2013-12",18
"CT","2014-01",9
"CT","2014-02",17
"CT","2014-03",15
"CT","2014-04",26
"CT","2014-05",14
"CT","2014-06",28
"CT","2014-07",23
"CT","2014-08",22
"CT","2014-09",16
"CT","2014-10",15
"CT","2014-11",12
"CT","2014-12",19
"CT","2015-01",11
"CT","2015-02",7
"CT","2015-03",11
"CT","2015-04",20
"CT","2015-05",20
"CT","2015-06",24
"CT","2015-07",27
"CT","2015-08",18
"CT","2015-09",23
"CT","2015-10",18
"CT","2015-11",16
"CT","2015-12",7
"CT","2016-01",20
"CT","2016-02",6
"CT","2016-03",0
"CT","2016-04",0
"DC","2005-01",0
"DC","2005-02",0
"DC","2005-03",0
"DC","2005-04",0
"DC","2005-05",0
"DC","2005-06",0
"DC","2005-07",0
"DC","2005-08",0
"DC","2005-09",1
"DC","2005-10",0
"DC","2005-11",2
"DC","2005-12",2
"DC","2006-01",1
"DC","2006-02",2
"DC","2006-03",1
"DC","2006-04",3
"DC","2006-05",0
"DC","2006-06",0
"DC","2006-07",1
"DC","2006-08",1
"DC","2006-09",0
"DC","2006-10",0
"DC","2006-11",0
"DC","2006-12",0
"DC","2007-01",0
"DC","2007-02",0
"DC","2007-03",1
"DC","2007-04",0
"DC","2007-05",0
"DC","2007-06",2
"DC","2007-07",1
"DC","2007-08",0
"DC","2007-09",1
"DC","2007-10",0
"DC","2007-11",1
"DC","2007-12",0
"DC","2008-01",0
"DC","2008-02",0
"DC","2008-03",0
"DC","2008-04",0
"DC","2008-05",1
"DC","2008-06",1
"DC","2008-07",0
"DC","2008-08",2
"DC","2008-09",0
"DC","2008-10",0
"DC","2008-11",0
"DC","2008-12",3
"DC","2009-01",1
"DC","2009-02",1
"DC","2009-03",0
"DC","2009-04",0
"DC","2009-05",0
"DC","2009-06",0
"DC","2009-07",0
"DC","2009-08",0
"DC","2009-09",1
"DC","2009-10",0
"DC","2009-11",0
"DC","2009-12",0
"DC","2010-01",0
"DC","2010-02",0
"DC","2010-03",0
"DC","2010-04",0
"DC","2010-05",1
"DC","2010-06",0
"DC","2010-07",0
"DC","2010-08",0
"DC","2010-09",0
"DC","2010-10",1
"DC","2010-11",0
"DC","2010-12",1
"DC","2011-01",1
"DC","2011-02",1
"DC","2011-03",0
"DC","2011-04",0
"DC","2011-05",1
"DC","2011-06",0
"DC","2011-07",0
"DC","2011-08",0
"DC","2011-09",0
"DC","2011-10",0
"DC","2011-11",0
"DC","2011-12",0
"DC","2012-01",0
"DC","2012-02",0
"DC","2012-03",0
"DC","2012-04",0
"DC","2012-05",0
"DC","2012-06",0
"DC","2012-07",0
"DC","2012-08",0
"DC","2012-09",0
"DC","2012-10",0
"DC","2012-11",0
"DC","2012-12",1
"DC","2013-01",0
"DC","2013-02",0
"DC","2013-03",0
"DC","2013-04",0
"DC","2013-05",0
"DC","2013-06",0
"DC","2013-07",1
"DC","2013-08",0
"DC","2013-09",0
"DC","2013-10",1
"DC","2013-11",0
